gene,pathway_id,pathway_name,pmids,source_url
PIK3CA,R-SSC-5654687,Downstream signaling of activated FGFR1,,https://reactome.org/content/detail/R-SSC-5654687
KRAS,R-SSC-5654687,Downstream signaling of activated FGFR1,,https://reactome.org/content/detail/R-SSC-5654687
EGFR,R-SSC-8857538,PTK6 promotes HIF1A stabilization,,https://reactome.org/content/detail/R-SSC-8857538
KRAS,R-SSC-5654699,SHC-mediated cascade:FGFR2,,https://reactome.org/content/detail/R-SSC-5654699
KRAS,R-SSC-1169092,Activation of RAS in B cells,,https://reactome.org/content/detail/R-SSC-1169092
KRAS,R-SSC-5654704,SHC-mediated cascade:FGFR3,,https://reactome.org/content/detail/R-SSC-5654704
ATM,R-CFA-5685938,HDR through Single Strand Annealing (SSA),,https://reactome.org/content/detail/R-CFA-5685938
ATR,R-CFA-5685938,HDR through Single Strand Annealing (SSA),,https://reactome.org/content/detail/R-CFA-5685938
PIK3CA,R-CFA-5654687,Downstream signaling of activated FGFR1,,https://reactome.org/content/detail/R-CFA-5654687
KRAS,R-CFA-5654687,Downstream signaling of activated FGFR1,,https://reactome.org/content/detail/R-CFA-5654687
CHK1,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),20965415,https://reactome.org/content/detail/R-HSA-5693567
ATM,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),20965415,https://reactome.org/content/detail/R-HSA-5693567
ATR,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),20965415,https://reactome.org/content/detail/R-HSA-5693567
EGFR,R-GGA-8857538,PTK6 promotes HIF1A stabilization,,https://reactome.org/content/detail/R-GGA-8857538
CDK6,R-GGA-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-GGA-2559585
WEE1,R-RNO-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-RNO-69481
ATM,R-RNO-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-RNO-69481
TP53,R-RNO-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-RNO-69481
ATR,R-RNO-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-RNO-69481
PIK3CA,R-BTA-2424491,DAP12 signaling,,https://reactome.org/content/detail/R-BTA-2424491
KRAS,R-BTA-2424491,DAP12 signaling,,https://reactome.org/content/detail/R-BTA-2424491
PIK3CA,R-BTA-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-BTA-2172127
KRAS,R-BTA-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-BTA-2172127
PIK3CA,R-BTA-1236394,Signaling by ERBB4,,https://reactome.org/content/detail/R-BTA-1236394
KRAS,R-BTA-1236394,Signaling by ERBB4,,https://reactome.org/content/detail/R-BTA-1236394
