gene,pathway_id,pathway_name,pmids,source_url
CHK1,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
ATM,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
TP53,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
ATR,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
CHK1,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
CCNE1,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
MDM2,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
PTEN,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
ATM,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
TP53,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
AURKA,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
ATR,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
PIK3CA,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
KRAS,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
EGFR,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
PIK3CA,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
KRAS,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
EGFR,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
PIK3CA,R-HSA-9665348,Signaling by ERBB2 ECD mutants,22908275; 23220880,https://reactome.org/content/detail/R-HSA-9665348
KRAS,R-HSA-9665348,Signaling by ERBB2 ECD mutants,22908275; 23220880,https://reactome.org/content/detail/R-HSA-9665348
EGFR,R-HSA-9665348,Signaling by ERBB2 ECD mutants,22908275; 23220880,https://reactome.org/content/detail/R-HSA-9665348
MDM2,R-HSA-6806003,Regulation of TP53 Expression and Degradation,7878469; 21986495; 8319905; 17121812; 9529249; 11883935; 15563468; 17499002; 23303139; 11923872; 12654245; 15103385; 19250907; 19293287; 16213212; 21814038,https://reactome.org/content/detail/R-HSA-6806003
ATM,R-HSA-6806003,Regulation of TP53 Expression and Degradation,7878469; 21986495; 8319905; 17121812; 9529249; 11883935; 15563468; 17499002; 23303139; 11923872; 12654245; 15103385; 19250907; 19293287; 16213212; 21814038,https://reactome.org/content/detail/R-HSA-6806003
TP53,R-HSA-6806003,Regulation of TP53 Expression and Degradation,7878469; 21986495; 8319905; 17121812; 9529249; 11883935; 15563468; 17499002; 23303139; 11923872; 12654245; 15103385; 19250907; 19293287; 16213212; 21814038,https://reactome.org/content/detail/R-HSA-6806003
PIK3CA,R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,16187797; 17177598,https://reactome.org/content/detail/R-HSA-5637815
KRAS,R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,16187797; 17177598,https://reactome.org/content/detail/R-HSA-5637815
EGFR,R-HSA-5637815,Signaling by Ligand-Responsive EGFR Variants in Cancer,16187797; 17177598,https://reactome.org/content/detail/R-HSA-5637815
PIK3CA,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,,https://reactome.org/content/detail/R-HSA-1236382
KRAS,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,,https://reactome.org/content/detail/R-HSA-1236382
EGFR,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,,https://reactome.org/content/detail/R-HSA-1236382
CDK6,R-MMU-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559585
CDK4,R-MMU-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559585
MDM2,R-MMU-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559585
TP53,R-MMU-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559585
PIK3CA,R-HSA-1643713,Signaling by EGFR in Cancer,,https://reactome.org/content/detail/R-HSA-1643713
KRAS,R-HSA-1643713,Signaling by EGFR in Cancer,,https://reactome.org/content/detail/R-HSA-1643713
EGFR,R-HSA-1643713,Signaling by EGFR in Cancer,,https://reactome.org/content/detail/R-HSA-1643713
KRAS,R-HSA-2179392,EGFR Transactivation by Gastrin,20398727; 16816139,https://reactome.org/content/detail/R-HSA-2179392
EGFR,R-HSA-2179392,EGFR Transactivation by Gastrin,20398727; 16816139,https://reactome.org/content/detail/R-HSA-2179392
CHK1,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
MDM2,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
ATM,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
TP53,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
AURKA,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
ATR,R-HSA-5633007,Regulation of TP53 Activity,19450511; 20457558; 23825024; 25641576,https://reactome.org/content/detail/R-HSA-5633007
CHK1,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
MDM2,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
ATM,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
TP53,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
AURKA,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
ATR,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,9733514; 9733515; 9843217; 10673500; 10570149; 10710310; 10435622; 9925639; 10673501; 21317932; 12064478; 18490454; 17591690; 15866171; 11546806; 12914926; 11551930; 11447225; 19965871; 17349958; 11780126; 11740489; 12851404; 11239457; 12393879; 14702041; 10884347; 15053879; 20959462; 22611192,https://reactome.org/content/detail/R-HSA-6804756
PIK3CA,R-HSA-9664565,Signaling by ERBB2 KD Mutants,30314968; 23220880; 26287187; 27899578; 23843458; 25809292; 25994018; 18413839; 29088767; 27284958; 16397024; 28481359; 25148578; 21720365; 28274957; 30301790; 26375550; 25853726; 22046346,https://reactome.org/content/detail/R-HSA-9664565
KRAS,R-HSA-9664565,Signaling by ERBB2 KD Mutants,30314968; 23220880; 26287187; 27899578; 23843458; 25809292; 25994018; 18413839; 29088767; 27284958; 16397024; 28481359; 25148578; 21720365; 28274957; 30301790; 26375550; 25853726; 22046346,https://reactome.org/content/detail/R-HSA-9664565
EGFR,R-HSA-9664565,Signaling by ERBB2 KD Mutants,30314968; 23220880; 26287187; 27899578; 23843458; 25809292; 25994018; 18413839; 29088767; 27284958; 16397024; 28481359; 25148578; 21720365; 28274957; 30301790; 26375550; 25853726; 22046346,https://reactome.org/content/detail/R-HSA-9664565
PIK3CA,R-HSA-1227990,Signaling by ERBB2 in Cancer,18978815; 27903463; 21638049; 22046346; 23220880; 23843458; 25853726; 26375550; 28274957; 30314968; 22908275; 30449325; 31292270; 23948973; 29967253,https://reactome.org/content/detail/R-HSA-1227990
KRAS,R-HSA-1227990,Signaling by ERBB2 in Cancer,18978815; 27903463; 21638049; 22046346; 23220880; 23843458; 25853726; 26375550; 28274957; 30314968; 22908275; 30449325; 31292270; 23948973; 29967253,https://reactome.org/content/detail/R-HSA-1227990
EGFR,R-HSA-1227990,Signaling by ERBB2 in Cancer,18978815; 27903463; 21638049; 22046346; 23220880; 23843458; 25853726; 26375550; 28274957; 30314968; 22908275; 30449325; 31292270; 23948973; 29967253,https://reactome.org/content/detail/R-HSA-1227990
CDK6,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,23190892; 26997276; 24136988; 26105537; 20473920; 10911952; 22019631; 20838381; 27846439; 15377661; 10391689; 9205067; 7585152; 7553622; 7553621; 20016279; 10360174; 18538737; 15937071; 11485924; 10854221; 10541553; 10541552; 10498896; 21775818; 11726555; 15761864; 9916806; 11477665; 9354451; 8153634; 8589035,https://reactome.org/content/detail/R-HSA-9632693
CDK4,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,23190892; 26997276; 24136988; 26105537; 20473920; 10911952; 22019631; 20838381; 27846439; 15377661; 10391689; 9205067; 7585152; 7553622; 7553621; 20016279; 10360174; 18538737; 15937071; 11485924; 10854221; 10541553; 10541552; 10498896; 21775818; 11726555; 15761864; 9916806; 11477665; 9354451; 8153634; 8589035,https://reactome.org/content/detail/R-HSA-9632693
CDK6,R-HSA-9630750,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,18843795; 26997276; 24136988; 26105537; 20473920; 22020327; 9205067; 7585152; 7553622; 7553621; 20016279; 10360174; 18538737; 15937071; 11485924; 10854221; 10541553; 10541552; 27812880; 10498896; 21775818; 11726555; 15761864; 9916806; 11477665; 9354451; 8153634; 8589035,https://reactome.org/content/detail/R-HSA-9630750
CDK4,R-HSA-9630750,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,18843795; 26997276; 24136988; 26105537; 20473920; 22020327; 9205067; 7585152; 7553622; 7553621; 20016279; 10360174; 18538737; 15937071; 11485924; 10854221; 10541553; 10541552; 27812880; 10498896; 21775818; 11726555; 15761864; 9916806; 11477665; 9354451; 8153634; 8589035,https://reactome.org/content/detail/R-HSA-9630750
CDK6,R-HSA-9630794,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,18843795,https://reactome.org/content/detail/R-HSA-9630794
CDK4,R-HSA-9630794,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,18843795,https://reactome.org/content/detail/R-HSA-9630794
CDK6,R-HSA-9632700,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,22019631; 10911952,https://reactome.org/content/detail/R-HSA-9632700
CDK4,R-HSA-9632700,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,22019631; 10911952,https://reactome.org/content/detail/R-HSA-9632700
CDK6,R-DRE-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-DRE-2559585
CDK4,R-DRE-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-DRE-2559585
MDM2,R-DRE-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-DRE-2559585
TP53,R-DRE-2559585,Oncogene Induced Senescence,,https://reactome.org/content/detail/R-DRE-2559585
KRAS,R-HSA-179812,GRB2 events in EGFR signaling,11706405; 11498013,https://reactome.org/content/detail/R-HSA-179812
EGFR,R-HSA-179812,GRB2 events in EGFR signaling,11706405; 11498013,https://reactome.org/content/detail/R-HSA-179812
CHK1,R-HSA-69615,G1/S DNA Damage Checkpoints,26254915; 10229703,https://reactome.org/content/detail/R-HSA-69615
CCNE1,R-HSA-69615,G1/S DNA Damage Checkpoints,26254915; 10229703,https://reactome.org/content/detail/R-HSA-69615
MDM2,R-HSA-69615,G1/S DNA Damage Checkpoints,26254915; 10229703,https://reactome.org/content/detail/R-HSA-69615
ATM,R-HSA-69615,G1/S DNA Damage Checkpoints,26254915; 10229703,https://reactome.org/content/detail/R-HSA-69615
TP53,R-HSA-69615,G1/S DNA Damage Checkpoints,26254915; 10229703,https://reactome.org/content/detail/R-HSA-69615
CDK4,R-HSA-8848021,Signaling by PTK6,18719096; 26247733; 8940083; 11114724; 20687930; 23928995; 23814047; 25897081; 22547065; 20929863; 19393627; 21205088; 15572663; 18829532; 19439179; 16179349; 18077133; 25999240; 15539407; 20606012; 24788754; 17483331; 22084245; 20554524; 23352614; 22231447; 25733683; 10913193; 15471878; 21847121; 25019382; 18172307,https://reactome.org/content/detail/R-HSA-8848021
CCNE1,R-HSA-8848021,Signaling by PTK6,18719096; 26247733; 8940083; 11114724; 20687930; 23928995; 23814047; 25897081; 22547065; 20929863; 19393627; 21205088; 15572663; 18829532; 19439179; 16179349; 18077133; 25999240; 15539407; 20606012; 24788754; 17483331; 22084245; 20554524; 23352614; 22231447; 25733683; 10913193; 15471878; 21847121; 25019382; 18172307,https://reactome.org/content/detail/R-HSA-8848021
KRAS,R-HSA-8848021,Signaling by PTK6,18719096; 26247733; 8940083; 11114724; 20687930; 23928995; 23814047; 25897081; 22547065; 20929863; 19393627; 21205088; 15572663; 18829532; 19439179; 16179349; 18077133; 25999240; 15539407; 20606012; 24788754; 17483331; 22084245; 20554524; 23352614; 22231447; 25733683; 10913193; 15471878; 21847121; 25019382; 18172307,https://reactome.org/content/detail/R-HSA-8848021
EGFR,R-HSA-8848021,Signaling by PTK6,18719096; 26247733; 8940083; 11114724; 20687930; 23928995; 23814047; 25897081; 22547065; 20929863; 19393627; 21205088; 15572663; 18829532; 19439179; 16179349; 18077133; 25999240; 15539407; 20606012; 24788754; 17483331; 22084245; 20554524; 23352614; 22231447; 25733683; 10913193; 15471878; 21847121; 25019382; 18172307,https://reactome.org/content/detail/R-HSA-8848021
CDK4,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,9140060,https://reactome.org/content/detail/R-HSA-9006927
CCNE1,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,9140060,https://reactome.org/content/detail/R-HSA-9006927
KRAS,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,9140060,https://reactome.org/content/detail/R-HSA-9006927
EGFR,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,9140060,https://reactome.org/content/detail/R-HSA-9006927
CDK6,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",9342358; 1826560; 8413249; 15469821,https://reactome.org/content/detail/R-HSA-9661069
CDK4,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",9342358; 1826560; 8413249; 15469821,https://reactome.org/content/detail/R-HSA-9661069
CCNE1,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",9342358; 1826560; 8413249; 15469821,https://reactome.org/content/detail/R-HSA-9661069
CDK6,R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,17854503; 12459729,https://reactome.org/content/detail/R-HSA-9659787
CDK4,R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,17854503; 12459729,https://reactome.org/content/detail/R-HSA-9659787
CCNE1,R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,17854503; 12459729,https://reactome.org/content/detail/R-HSA-9659787
PIK3CA,R-HSA-5655291,Signaling by FGFR4 in disease,19809159; 18056464; 19946327; 17525745; 8845844; 11157491; 9207791; 11830541; 16012724; 15448004,https://reactome.org/content/detail/R-HSA-5655291
KRAS,R-HSA-5655291,Signaling by FGFR4 in disease,19809159; 18056464; 19946327; 17525745; 8845844; 11157491; 9207791; 11830541; 16012724; 15448004,https://reactome.org/content/detail/R-HSA-5655291
TP53,R-HSA-6804754,Regulation of TP53 Expression,17264218; 7878469; 7859740,https://reactome.org/content/detail/R-HSA-6804754
CDK6,R-HSA-9675132,Diseases of cellular response to stress,15709958; 26646499; 28575665; 31675495; 31575608; 31235879; 30965013; 28389776,https://reactome.org/content/detail/R-HSA-9675132
CDK4,R-HSA-9675132,Diseases of cellular response to stress,15709958; 26646499; 28575665; 31675495; 31575608; 31235879; 30965013; 28389776,https://reactome.org/content/detail/R-HSA-9675132
CDK6,R-HSA-9630747,Diseases of Cellular Senescence,26646499; 28575665; 26105537,https://reactome.org/content/detail/R-HSA-9630747
CDK4,R-HSA-9630747,Diseases of Cellular Senescence,26646499; 28575665; 26105537,https://reactome.org/content/detail/R-HSA-9630747
CDK6,R-HSA-2559585,Oncogene Induced Senescence,18365017; 22336108; 8259215; 9529249; 9824166; 8319905; 10722742; 8552081; 11782450; 15572696; 20534573; 11234019; 7588608; 14729966; 11883935; 9704925; 20583212; 10733595; 12839923; 8521522; 26105537; 27812880,https://reactome.org/content/detail/R-HSA-2559585
CDK4,R-HSA-2559585,Oncogene Induced Senescence,18365017; 22336108; 8259215; 9529249; 9824166; 8319905; 10722742; 8552081; 11782450; 15572696; 20534573; 11234019; 7588608; 14729966; 11883935; 9704925; 20583212; 10733595; 12839923; 8521522; 26105537; 27812880,https://reactome.org/content/detail/R-HSA-2559585
MDM2,R-HSA-2559585,Oncogene Induced Senescence,18365017; 22336108; 8259215; 9529249; 9824166; 8319905; 10722742; 8552081; 11782450; 15572696; 20534573; 11234019; 7588608; 14729966; 11883935; 9704925; 20583212; 10733595; 12839923; 8521522; 26105537; 27812880,https://reactome.org/content/detail/R-HSA-2559585
TP53,R-HSA-2559585,Oncogene Induced Senescence,18365017; 22336108; 8259215; 9529249; 9824166; 8319905; 10722742; 8552081; 11782450; 15572696; 20534573; 11234019; 7588608; 14729966; 11883935; 9704925; 20583212; 10733595; 12839923; 8521522; 26105537; 27812880,https://reactome.org/content/detail/R-HSA-2559585
MDM2,R-HSA-6804757,Regulation of TP53 Degradation,8319905; 9529249; 11883935; 15563468; 11983168; 17121812; 15788536; 16163388; 19756449; 20438709; 11504915; 21986495; 10608892; 21730163; 21730132; 11715018; 11359766; 9843217; 9733514; 9733515; 10673500; 10570149; 10722742; 19816404; 19838211; 17290220; 11923872; 16474402; 16845383; 19450511,https://reactome.org/content/detail/R-HSA-6804757
ATM,R-HSA-6804757,Regulation of TP53 Degradation,8319905; 9529249; 11883935; 15563468; 11983168; 17121812; 15788536; 16163388; 19756449; 20438709; 11504915; 21986495; 10608892; 21730163; 21730132; 11715018; 11359766; 9843217; 9733514; 9733515; 10673500; 10570149; 10722742; 19816404; 19838211; 17290220; 11923872; 16474402; 16845383; 19450511,https://reactome.org/content/detail/R-HSA-6804757
TP53,R-HSA-6804757,Regulation of TP53 Degradation,8319905; 9529249; 11883935; 15563468; 11983168; 17121812; 15788536; 16163388; 19756449; 20438709; 11504915; 21986495; 10608892; 21730163; 21730132; 11715018; 11359766; 9843217; 9733514; 9733515; 10673500; 10570149; 10722742; 19816404; 19838211; 17290220; 11923872; 16474402; 16845383; 19450511,https://reactome.org/content/detail/R-HSA-6804757
KRAS,R-HSA-180336,SHC1 events in EGFR signaling,11498013; 8755247,https://reactome.org/content/detail/R-HSA-180336
EGFR,R-HSA-180336,SHC1 events in EGFR signaling,11498013; 8755247,https://reactome.org/content/detail/R-HSA-180336
PIK3CA,R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",22089421; 29408302; 27170215; 29964125; 25880691,https://reactome.org/content/detail/R-HSA-9673767
KRAS,R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",22089421; 29408302; 27170215; 29964125; 25880691,https://reactome.org/content/detail/R-HSA-9673767
PIK3CA,R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants,30389923; 23752188; 20889717; 23970477; 12569364,https://reactome.org/content/detail/R-HSA-9673770
KRAS,R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants,30389923; 23752188; 20889717; 23970477; 12569364,https://reactome.org/content/detail/R-HSA-9673770
KRAS,R-HSA-1963640,GRB2 events in ERBB2 signaling,,https://reactome.org/content/detail/R-HSA-1963640
EGFR,R-HSA-1963640,GRB2 events in ERBB2 signaling,,https://reactome.org/content/detail/R-HSA-1963640
WEE1,R-HSA-69473,G2/M DNA damage checkpoint,,https://reactome.org/content/detail/R-HSA-69473
CHK1,R-HSA-69473,G2/M DNA damage checkpoint,,https://reactome.org/content/detail/R-HSA-69473
ATM,R-HSA-69473,G2/M DNA damage checkpoint,,https://reactome.org/content/detail/R-HSA-69473
TP53,R-HSA-69473,G2/M DNA damage checkpoint,,https://reactome.org/content/detail/R-HSA-69473
ATR,R-HSA-69473,G2/M DNA damage checkpoint,,https://reactome.org/content/detail/R-HSA-69473
MDM2,R-HSA-6804760,Regulation of TP53 Activity through Methylation,10518217; 11511361; 15448695; 18833288; 22362889; 20118233; 15525938; 16415881; 21625555; 17108971; 20870725; 17805299; 15186775,https://reactome.org/content/detail/R-HSA-6804760
ATM,R-HSA-6804760,Regulation of TP53 Activity through Methylation,10518217; 11511361; 15448695; 18833288; 22362889; 20118233; 15525938; 16415881; 21625555; 17108971; 20870725; 17805299; 15186775,https://reactome.org/content/detail/R-HSA-6804760
TP53,R-HSA-6804760,Regulation of TP53 Activity through Methylation,10518217; 11511361; 15448695; 18833288; 22362889; 20118233; 15525938; 16415881; 21625555; 17108971; 20870725; 17805299; 15186775,https://reactome.org/content/detail/R-HSA-6804760
PIK3CA,R-HSA-210993,Tie2 Signaling,11566266; 11191051; 9764820; 11969368,https://reactome.org/content/detail/R-HSA-210993
KRAS,R-HSA-210993,Tie2 Signaling,11566266; 11191051; 9764820; 11969368,https://reactome.org/content/detail/R-HSA-210993
CHK1,R-HSA-1433557,Signaling by SCF-KIT,17350321; 15526160; 16483568; 16475976; 19540337; 7688988,https://reactome.org/content/detail/R-HSA-1433557
PIK3CA,R-HSA-1433557,Signaling by SCF-KIT,17350321; 15526160; 16483568; 16475976; 19540337; 7688988,https://reactome.org/content/detail/R-HSA-1433557
KRAS,R-HSA-1433557,Signaling by SCF-KIT,17350321; 15526160; 16483568; 16475976; 19540337; 7688988,https://reactome.org/content/detail/R-HSA-1433557
CDK6,R-HSA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,25633797; 29731395; 32289274; 32346095,https://reactome.org/content/detail/R-HSA-9754119
CDK4,R-HSA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,25633797; 29731395; 32289274; 32346095,https://reactome.org/content/detail/R-HSA-9754119
KRAS,R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,7491953; 10413847; 17698287,https://reactome.org/content/detail/R-HSA-881907
EGFR,R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,7491953; 10413847; 17698287,https://reactome.org/content/detail/R-HSA-881907
CCNE1,R-HSA-69563,p53-Dependent G1 DNA Damage Response,9153395; 9153396; 1423616; 8247533,https://reactome.org/content/detail/R-HSA-69563
MDM2,R-HSA-69563,p53-Dependent G1 DNA Damage Response,9153395; 9153396; 1423616; 8247533,https://reactome.org/content/detail/R-HSA-69563
ATM,R-HSA-69563,p53-Dependent G1 DNA Damage Response,9153395; 9153396; 1423616; 8247533,https://reactome.org/content/detail/R-HSA-69563
TP53,R-HSA-69563,p53-Dependent G1 DNA Damage Response,9153395; 9153396; 1423616; 8247533,https://reactome.org/content/detail/R-HSA-69563
CCNE1,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,1323840,https://reactome.org/content/detail/R-HSA-69580
MDM2,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,1323840,https://reactome.org/content/detail/R-HSA-69580
ATM,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,1323840,https://reactome.org/content/detail/R-HSA-69580
TP53,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,1323840,https://reactome.org/content/detail/R-HSA-69580
PIK3CA,R-HSA-9671555,Signaling by PDGFR in disease,15207812; 29408302; 15928335; 27170215; 29964125; 20889717; 20129251; 28010895,https://reactome.org/content/detail/R-HSA-9671555
KRAS,R-HSA-9671555,Signaling by PDGFR in disease,15207812; 29408302; 15928335; 27170215; 29964125; 20889717; 20129251; 28010895,https://reactome.org/content/detail/R-HSA-9671555
PIK3CA,R-HSA-9034015,Signaling by NTRK3 (TRKC),27654855; 9856458; 1653651; 7961713; 25196463; 10486198; 8752100; 29162704; 9078261; 17991742; 14668342; 12173038; 11751416; 17686986; 24034695; 21262467; 25385546; 19573017; 17967490; 12532410; 24491805; 8621434; 11520916,https://reactome.org/content/detail/R-HSA-9034015
KRAS,R-HSA-9034015,Signaling by NTRK3 (TRKC),27654855; 9856458; 1653651; 7961713; 25196463; 10486198; 8752100; 29162704; 9078261; 17991742; 14668342; 12173038; 11751416; 17686986; 24034695; 21262467; 25385546; 19573017; 17967490; 12532410; 24491805; 8621434; 11520916,https://reactome.org/content/detail/R-HSA-9034015
PIK3CA,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",15007386; 17546049; 20927104; 28923937; 23073628; 22089421,https://reactome.org/content/detail/R-HSA-9670439
KRAS,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",15007386; 17546049; 20927104; 28923937; 23073628; 22089421,https://reactome.org/content/detail/R-HSA-9670439
