gene,drug,synonyms,chembl_id,action,max_phase,is_withdrawn,source_url
KRAS,SOTORASIB,"['AMG510', 'AMG-510', 'Kras g12c inhibitor 9', 'Lumakras', 'Sotorasib', 'Lumykras', 'Kras mutant-targeting amg 510']",CHEMBL4535757,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4535757/
KRAS,ADAGRASIB,"['Krazati', 'Mrtx-849', 'Adagrasib', 'MRTX-849', 'MRTX849', 'Kras g12c inhibitor mrtx849', 'Mrtx849']",CHEMBL4594350,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4594350/
CHK1,AZD-7762,"['AZD7762', 'Azd 7762', 'Azd-7762']",CHEMBL2041933,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2041933/
CHK1,PF-00477736,"['PF-477736', 'PF477736', 'PF-00477736', 'Pf 477736', 'Pf-00477736']",CHEMBL3545137,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545137/
CHK1,RG-7602,"['RG-7602', 'Rg-7602', 'GDC-0425']",CHEMBL5314388,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5314388/
CHK1,RG-7741,"['GDC-0575', 'Rg-7741']",CHEMBL3545199,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545199/
CHK1,SCH-900776,"['SCH 900776', 'Sch-900776', 'Mk-8776']",CHEMBL2386889,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2386889/
CHK1,XL-844,['Xl-844'],CHEMBL3544936,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3544936/
CHK1,RABUSERTIB,"['IC-83', 'Ly-2603618', 'Rabusertib', 'LY-2603618', 'LY2603618']",CHEMBL3039517,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3039517/
CHK1,UCN-01,"['UCN-01', 'KW-2401', '7-hydroxystaurosporine', 'Ucn 01', 'KRX-0601', 'UCN-02', 'NSC-638850', 'Ucn-01']",CHEMBL574737,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL574737/
CHK1,PREXASERTIB,"['Prexasertib', 'Ly-2606368', 'LY-2606368', 'LY2606368']",CHEMBL3544911,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3544911/
PARP1,TALAZOPARIB,"['BMN-673', 'PF-06944076', 'Talazoparib', 'BMN 673', 'LT-673']",CHEMBL3137320,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3137320/
PARP1,TALAZOPARIB TOSYLATE,"['BMN-673TS', 'Talazoparib tosilate', 'Talazoparib tosylate', 'Talzenna', 'BMN 673ts']",CHEMBL3137318,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3137318/
